Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
58,Jamaree Bouyea,PG,24,POR,6,57,-4.8,0.238,0.381,0,3.7,16.7,9.8,19.4,0,0,27.6,21.6,,-0.4,0,-0.4,-0.299,,-13,-4.8,-17.8,-0.2
58,Jamaree Bouyea,PG,24,SAS,3,38,11.1,0.786,0.143,0,2.8,23,12.8,10.7,1.2,0,12.5,8.9,,0.1,0,0.1,0.126,,-6.1,2.2,-3.9,0
59,Malaki Branham,PG,20,SAS,75,1594,8.7,0.526,0.427,0.1,1.9,8.2,5,14,0.8,0.4,12.2,19.8,,-0.9,0.6,-0.3,-0.008,,-3.4,-2.2,-5.6,-1.5
60,Christian Braun,SG,22,DEN,82,1655,12.1,0.554,0.34,0.277,5.4,14.8,10.2,10.2,1.3,1.8,9.2,15.7,,1.5,2,3.4,0.1,,-1.7,-0.2,-1.9,0
61,Mikal Bridges,SF,27,BRK,82,2854,14.9,0.56,0.457,0.245,2.5,12,7.1,16.3,1.4,0.9,10.3,24.3,,2.1,2.1,4.2,0.07,,0.7,-1,-0.4,1.2
62,Miles Bridges,SF,25,CHO,69,2581,15.4,0.556,0.372,0.174,3,19.5,11,14.6,1.2,1.2,9.6,24.7,,0.7,1.4,2.2,0.04,,0.2,-1.3,-1.1,0.6
63,Oshae Brissett,SF,25,BOS,55,630,12.8,0.53,0.359,0.542,10.9,16.3,13.7,8.7,1.5,1.1,9.5,14.5,,0.8,0.9,1.7,0.131,,-2,0.2,-1.8,0
64,Izaiah Brockington,PG,24,NOP,1,3,26.6,0.4,0.2,0,37.6,36.7,37.1,0,0,0,0,72.5,,0,0,0,-0.177,,-9.2,-8.5,-17.8,0
65,Malcolm Brogdon,PG,31,POR,39,1121,17,0.56,0.401,0.234,2.6,12.8,7.4,30.9,1.2,0.6,9.9,23,,2,0.6,2.6,0.111,,2.7,-0.7,2,1.1
66,Armoni Brooks,PG,25,BRK,10,104,8.3,0.448,0.696,0.043,7.2,11.9,9.5,6.9,0.5,0.9,6,20.8,,-0.1,0.1,0,-0.018,,-2.2,-3.7,-5.8,-0.1
